Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,1.53,2.07000005245209,2.11875020340085,
,,,1.535,2.09875005483627,2.08750020712614,
,,,1.54,2.09875005483627,2.08750020712614,
,,,1.545,2.12750005722046,2.08750020712614,
,,,1.55,2.07000005245209,2.08750020712614,
,,,1.555,2.12750005722046,2.11875020340085,
,,,1.56,2.07000005245209,2.11875020340085,
,,,1.565,2.07000005245209,2.05625021085143,
,,,1.57,2.09875005483627,2.11875020340085,
,,,1.575,2.09875005483627,2.08750020712614,
,,,1.58,2.07000005245209,2.08750020712614,
,,,1.585,2.09875005483627,2.08750020712614,
,,,1.59,2.07000005245209,2.08750020712614,
,,,1.595,2.07000005245209,2.05625021085143,
,,,1.6,2.09875005483627,2.08750020712614,
,,,1.605,2.07000005245209,2.11875020340085,
,,,1.61,2.07000005245209,2.11875020340085,
,,,1.615,2.09875005483627,2.05625021085143,
,,,1.62,2.07000005245209,2.05625021085143,
,,,1.625,2.07000005245209,2.05625021085143,
,,,1.63,2.09875005483627,2.08750020712614,
,,,1.635,2.09875005483627,2.11875020340085,
,,,1.64,2.07000005245209,2.08750020712614,
,,,1.645,2.07000005245209,2.05625021085143,
,,,1.65,2.07000005245209,2.08750020712614,
,,,1.655,2.07000005245209,2.11875020340085,
,,,1.66,2.07000005245209,2.08750020712614,
,,,1.665,2.0412500500679,2.05625021085143,
,,,1.67,2.07000005245209,2.08750020712614,
,,,1.675,2.07000005245209,2.05625021085143,
,,,1.68,2.07000005245209,2.08750020712614,
,,,1.685,2.0412500500679,2.08750020712614,
,,,1.69,2.07000005245209,2.08750020712614,
,,,1.695,2.07000005245209,2.08750020712614,
,,,1.7,2.07000005245209,2.08750020712614,
,,,1.705,2.09875005483627,2.08750020712614,
,,,1.71,2.07000005245209,2.05625021085143,
,,,1.715,2.07000005245209,2.08750020712614,
,,,1.72,2.09875005483627,2.08750020712614,
,,,1.725,2.07000005245209,2.02500021457672,
,,,1.73,2.07000005245209,2.05625021085143,
,,,1.735,2.0412500500679,2.02500021457672,
,,,1.74,2.07000005245209,2.08750020712614,
,,,1.745,2.07000005245209,2.08750020712614,
,,,1.75,2.07000005245209,2.05625021085143,
,,,1.755,2.09875005483627,2.08750020712614,
,,,1.76,2.07000005245209,2.05625021085143,
,,,1.765,2.09875005483627,2.08750020712614,
,,,1.77,2.07000005245209,2.08750020712614,
,,,1.775,2.07000005245209,2.05625021085143,
,,,1.78,2.09875005483627,2.05625021085143,
,,,1.785,2.07000005245209,2.05625021085143,
,,,1.79,2.09875005483627,2.08750020712614,
,,,1.795,2.07000005245209,2.08750020712614,
,,,1.8,2.07000005245209,2.11875020340085,
,,,1.805,2.07000005245209,2.05625021085143,
,,,1.81,2.07000005245209,2.05625021085143,
,,,1.815,2.09875005483627,2.08750020712614,
,,,1.82,2.09875005483627,2.08750020712614,
,,,1.825,2.07000005245209,2.08750020712614,
,,,1.83,2.12750005722046,2.05625021085143,
,,,1.835,2.09875005483627,2.11875020340085,
,,,1.84,2.09875005483627,2.11875020340085,
,,,1.845,2.07000005245209,2.05625021085143,
,,,1.85,2.09875005483627,2.08750020712614,
,,,1.855,2.12750005722046,2.11875020340085,
,,,1.86,2.09875005483627,2.11875020340085,
,,,1.865,2.09875005483627,2.08750020712614,
,,,1.87,2.09875005483627,2.11875020340085,
,,,1.875,2.09875005483627,2.05625021085143,
,,,1.88,2.09875005483627,2.08750020712614,
,,,1.885,2.09875005483627,2.05625021085143,
,,,1.89,2.09875005483627,2.08750020712614,
,,,1.895,2.07000005245209,2.11875020340085,
,,,1.9,2.09875005483627,2.08750020712614,
,,,1.905,2.09875005483627,2.08750020712614,
,,,1.91,2.12750005722046,2.08750020712614,
,,,1.915,2.07000005245209,2.08750020712614,
,,,1.92,2.09875005483627,2.08750020712614,
,,,1.925,2.09875005483627,2.08750020712614,
,,,1.93,2.07000005245209,2.08750020712614,
,,,1.935,2.07000005245209,2.05625021085143,
,,,1.94,2.12750005722046,2.08750020712614,
,,,1.945,2.12750005722046,2.11875020340085,
,,,1.95,2.15625005960464,2.15000019967556,
,,,1.955,2.18500006198883,2.15000019967556,
,,,1.96,2.18500006198883,2.18125019595027,
,,,1.965,2.18500006198883,2.18125019595027,
,,,1.97,2.18500006198883,2.18125019595027,
,,,1.975,2.21375006437302,2.24375018849969,
,,,1.98,2.21375006437302,2.24375018849969,
,,,1.985,2.21375006437302,2.24375018849969,
,,,1.99,2.2425000667572,2.24375018849969,
,,,1.995,2.21375006437302,2.18125019595027,
,,,2,2.21375006437302,2.21250019222498,
,,,2.005,2.18500006198883,2.18125019595027,
,,,2.01,2.18500006198883,2.21250019222498,
,,,2.015,2.21375006437302,2.21250019222498,
,,,2.02,2.21375006437302,2.21250019222498,
,,,2.025,2.21375006437302,2.21250019222498,
,,,2.03,2.18500006198883,2.21250019222498,
,,,2.035,2.21375006437302,2.21250019222498,
,,,2.04,2.15625005960464,2.24375018849969,
,,,2.045,2.18500006198883,2.21250019222498,
,,,2.05,2.18500006198883,2.21250019222498,
,,,2.055,2.18500006198883,2.21250019222498,
,,,2.06,2.21375006437302,2.21250019222498,
,,,2.065,2.21375006437302,2.18125019595027,
,,,2.07,2.18500006198883,2.18125019595027,
,,,2.075,2.18500006198883,2.24375018849969,
,,,2.08,2.18500006198883,2.24375018849969,
,,,2.085,2.18500006198883,2.18125019595027,
,,,2.09,2.18500006198883,2.21250019222498,
,,,2.095,2.18500006198883,2.21250019222498,
,,,2.1,2.18500006198883,2.18125019595027,
,,,2.105,2.21375006437302,2.21250019222498,
,,,2.11,2.18500006198883,2.21250019222498,
,,,2.115,2.21375006437302,2.21250019222498,
,,,2.12,2.21375006437302,2.18125019595027,
,,,2.125,2.2425000667572,2.18125019595027,
,,,2.13,2.21375006437302,2.18125019595027,
