Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,1.6,-0.0287501215934753,0.993750337511301,
,,,1.605,-0.0575001239776611,0.962500341236591,
,,,1.61,-0.0287501215934753,0.962500341236591,
,,,1.615,-0.0287501215934753,0.962500341236591,
,,,1.62,-1.19209289550781E-07,0.962500341236591,
,,,1.625,-0.0287501215934753,0.931250344961882,
,,,1.63,0.0287498831748962,0.900000348687172,
,,,1.635,-0.0575001239776611,0.931250344961882,
,,,1.64,-0.0287501215934753,0.931250344961882,
,,,1.645,-0.0287501215934753,0.993750337511301,
,,,1.65,-0.0287501215934753,0.962500341236591,
,,,1.655,-0.0575001239776611,0.962500341236591,
,,,1.66,-0.0575001239776611,0.962500341236591,
,,,1.665,-0.0287501215934753,0.931250344961882,
,,,1.67,-0.0287501215934753,0.900000348687172,
,,,1.675,-0.0575001239776611,0.900000348687172,
,,,1.68,-0.0575001239776611,0.931250344961882,
,,,1.685,-0.0575001239776611,0.931250344961882,
,,,1.69,-0.0287501215934753,0.900000348687172,
,,,1.695,-0.0287501215934753,0.900000348687172,
,,,1.7,-0.0287501215934753,0.900000348687172,
,,,1.705,-0.0287501215934753,0.900000348687172,
,,,1.71,-0.0575001239776611,0.931250344961882,
,,,1.715,-0.0287501215934753,0.868750352412462,
,,,1.72,-0.0575001239776611,0.900000348687172,
,,,1.725,-0.0287501215934753,0.900000348687172,
,,,1.73,-0.0575001239776611,0.900000348687172,
,,,1.735,2.15625005960464,2.15000019967556,
,,,1.74,2.15625005960464,2.11875020340085,
,,,1.745,2.09875005483627,2.11875020340085,
,,,1.75,2.09875005483627,2.11875020340085,
,,,1.755,2.0412500500679,2.08750020712614,
,,,1.76,2.01250004768372,2.02500021457672,
,,,1.765,1.98375004529953,1.9625002220273,
,,,1.77,1.95500004291534,1.93125022575259,
,,,1.775,1.92625004053116,1.9625002220273,
,,,1.78,1.86875003576279,1.90000022947788,
,,,1.785,1.8400000333786,1.86875023320317,
,,,1.79,1.8400000333786,1.83750023692846,
,,,1.795,-1.19209289550781E-07,1.80625024065375,
,,,1.8,-1.19209289550781E-07,1.77500024437904,
,,,1.805,-0.0287501215934753,1.77500024437904,
,,,1.81,-0.0287501215934753,1.71250025182962,
,,,1.815,-0.0287501215934753,1.71250025182962,
,,,1.82,-0.0575001239776611,1.6500002592802,
,,,1.825,-0.0575001239776611,1.68125025555491,
,,,1.83,-0.0575001239776611,1.6500002592802,
,,,1.835,-0.0287501215934753,1.6187502630055,
,,,1.84,-0.0575001239776611,1.6187502630055,
,,,1.845,-0.0575001239776611,1.6187502630055,
,,,1.85,-0.0287501215934753,1.58750026673079,
,,,1.855,-0.0575001239776611,1.58750026673079,
