Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,0.442,2.09875005483627,2.11875020340085,
,,,0.443,2.09875005483627,2.08750020712614,
,,,0.444,2.07000005245209,2.08750020712614,
,,,0.445,2.07000005245209,2.08750020712614,
,,,0.446,2.07000005245209,2.02500021457672,
,,,0.447,2.0412500500679,2.05625021085143,
,,,0.448,2.07000005245209,2.05625021085143,
,,,0.449,2.07000005245209,2.05625021085143,
,,,0.45,2.0412500500679,2.02500021457672,
,,,0.451,2.0412500500679,2.02500021457672,
,,,0.452,2.01250004768372,1.99375021830201,
,,,0.453,2.0412500500679,1.99375021830201,
,,,0.454,2.0412500500679,1.99375021830201,
,,,0.455,2.01250004768372,2.02500021457672,
,,,0.456,2.01250004768372,1.99375021830201,
,,,0.457,2.01250004768372,1.99375021830201,
,,,0.458,1.98375004529953,1.99375021830201,
,,,0.459,2.01250004768372,1.99375021830201,
,,,0.46,1.98375004529953,1.99375021830201,
,,,0.461,1.98375004529953,1.9625002220273,
,,,0.462,1.95500004291534,1.9625002220273,
,,,0.463,1.95500004291534,1.9625002220273,
,,,0.464,1.92625004053116,1.93125022575259,
,,,0.465,1.92625004053116,1.9625002220273,
,,,0.466,1.92625004053116,1.9625002220273,
,,,0.467,1.92625004053116,1.9625002220273,
,,,0.468,1.89750003814697,1.90000022947788,
,,,0.469,1.92625004053116,1.90000022947788,
,,,0.47,1.89750003814697,1.90000022947788,
,,,0.471,1.89750003814697,1.90000022947788,
,,,0.472,1.89750003814697,1.86875023320317,
